pad	cobo	asad	aget	chan	row	col
1895	0	2	0	47	20	7
1905	0	2	0	48	21	10
1825	0	2	0	49	18	0
1888	0	2	0	50	19	5
1901	0	2	0	51	20	9
1891	0	2	0	52	19	6
1871	0	2	0	53	17	15
1867	0	2	0	54	18	14
1887	0	2	0	55	21	4
-1		0	2	0	56	-1	-1
1897	0	2	0	57	19	8
1896	0	2	0	58	21	7
1863	0	2	0	59	16	12
1883	0	2	0	60	20	3
1893	0	2	0	61	21	6
1904	0	2	0	62	20	10
1859	0	2	0	63	17	11
1875	0	2	0	64	21	0
1889	0	2	0	65	20	5
1879	0	2	0	66	19	2
1900	0	2	0	67	19	9
1755	0	2	1	0	16	24
1785	0	2	1	1	21	18
1812	0	2	1	2	21	27
1759	0	2	1	3	18	26
1822	0	2	1	4	19	31
1789	0	2	1	5	19	20
1816	0	2	1	6	19	29
1751	0	2	1	7	17	23
1818	0	2	1	8	21	29
1781	0	2	1	9	20	17
1820	0	2	1	10	20	30
-1		0	2	1	11	-1	-1
1747	0	2	1	12	18	22
1814	0	2	1	13	20	28
1777	0	2	1	14	19	16
1743	0	2	1	15	16	20
1824	0	2	1	16	21	31
1823	0	2	1	17	20	31
1810	0	2	1	18	19	27
1796	0	2	1	19	20	22
1778	0	2	1	20	20	16
1806	0	2	1	21	21	25
-1		0	2	1	22	-1	-1
1819	0	2	1	23	19	30
1739	0	2	1	24	17	19
1782	0	2	1	25	21	17
1802	0	2	1	26	20	24
1815	0	2	1	27	21	28
1735	0	2	1	28	18	18
1786	0	2	1	29	19	19
1798	0	2	1	30	19	23
1794	0	2	1	31	21	21
1790	0	2	1	32	20	20
1731	0	2	1	33	16	16
1811	0	2	1	34	20	27
1807	0	2	1	35	19	26
1737	0	2	1	36	16	18
1780	0	2	1	37	19	17
1821	0	2	1	38	21	30
1817	0	2	1	39	20	29
1741	0	2	1	40	18	20
1784	0	2	1	41	20	18
1803	0	2	1	42	21	24
1813	0	2	1	43	19	28
1733	0	2	1	44	17	17
-1		0	2	1	45	-1	-1
1788	0	2	1	46	21	19
1799	0	2	1	47	20	23
1809	0	2	1	48	21	26
1729	0	2	1	49	18	16
1792	0	2	1	50	19	21
1805	0	2	1	51	20	25
1795	0	2	1	52	19	22
1775	0	2	1	53	17	31
1771	0	2	1	54	18	30
1791	0	2	1	55	21	20
-1		0	2	1	56	-1	-1
1801	0	2	1	57	19	24
1800	0	2	1	58	21	23
1767	0	2	1	59	16	28
1787	0	2	1	60	20	19
1797	0	2	1	61	21	22
1808	0	2	1	62	20	26
1763	0	2	1	63	17	27
1779	0	2	1	64	21	16
1793	0	2	1	65	20	21
1783	0	2	1	66	19	18
1804	0	2	1	67	19	25
10		0	2	2	0	18	35
76		0	2	2	1	19	41
45		0	2	2	2	16	46
14		0	2	2	3	17	36
35		0	2	2	4	17	43
80		0	2	2	5	20	42
41		0	2	2	6	17	45
6		0	2	2	7	16	33
39		0	2	2	8	16	44
72		0	2	2	9	21	39
37		0	2	2	10	18	44
-1		0	2	2	11	-1	-1
2		0	2	2	12	17	32
43		0	2	2	13	18	46
68		0	2	2	14	20	38
48		0	2	2	15	16	47
33		0	2	2	16	16	42
64		0	2	2	17	19	37
47		0	2	2	18	17	47
16		0	2	2	19	18	37
29		0	2	2	20	17	41
1		0	2	2	21	18	32
-1		0	2	2	22	-1	-1
60		0	2	2	23	21	35
44		0	2	2	24	17	46
25		0	2	2	25	18	40
5		0	2	2	26	17	33
56		0	2	2	27	20	34
40		0	2	2	28	18	45
21		0	2	2	29	16	38
9		0	2	2	30	16	34
13		0	2	2	31	18	36
17		0	2	2	32	17	37
36		0	2	2	33	16	43
52		0	2	2	34	19	33
3		0	2	2	35	16	32
42		0	2	2	36	16	45
32		0	2	2	37	17	42
62		0	2	2	38	20	36
58		0	2	2	39	19	35
46		0	2	2	40	18	47
28		0	2	2	41	18	41
7		0	2	2	42	18	34
54		0	2	2	43	21	33
38		0	2	2	44	17	44
-1		0	2	2	45	-1	-1
24		0	2	2	46	16	39
11		0	2	2	47	17	35
50		0	2	2	48	20	32
34		0	2	2	49	18	43
20		0	2	2	50	17	38
96		0	2	2	51	21	47
15		0	2	2	52	16	36
30		0	2	2	53	16	41
26		0	2	2	54	17	40
19		0	2	2	55	18	38
-1		0	2	2	56	-1	-1
92		0	2	2	57	20	46
12		0	2	2	58	16	35
22		0	2	2	59	18	39
23		0	2	2	60	17	39
88		0	2	2	61	19	45
4		0	2	2	62	18	33
18		0	2	2	63	16	37
31		0	2	2	64	18	42
84		0	2	2	65	21	43
27		0	2	2	66	16	40
8		0	2	2	67	17	34
315		0	2	3	0	16	56
345		0	2	3	1	21	50
372		0	2	3	2	21	59
319		0	2	3	3	18	58
382		0	2	3	4	19	63
349		0	2	3	5	19	52
376		0	2	3	6	19	61
311		0	2	3	7	17	55
378		0	2	3	8	21	61
341		0	2	3	9	20	49
380		0	2	3	10	20	62
-1		0	2	3	11	-1	-1
307		0	2	3	12	18	54
374		0	2	3	13	20	60
337		0	2	3	14	19	48
303		0	2	3	15	16	52
384		0	2	3	16	21	63
383		0	2	3	17	20	63
370		0	2	3	18	19	59
356		0	2	3	19	20	54
338		0	2	3	20	20	48
366		0	2	3	21	21	57
-1		0	2	3	22	-1	-1
379		0	2	3	23	19	62
299		0	2	3	24	17	51
342		0	2	3	25	21	49
362		0	2	3	26	20	56
375		0	2	3	27	21	60
295		0	2	3	28	18	50
346		0	2	3	29	19	51
358		0	2	3	30	19	55
354		0	2	3	31	21	53
350		0	2	3	32	20	52
291		0	2	3	33	16	48
371		0	2	3	34	20	59
367		0	2	3	35	19	58
297		0	2	3	36	16	50
340		0	2	3	37	19	49
381		0	2	3	38	21	62
377		0	2	3	39	20	61
301		0	2	3	40	18	52
344		0	2	3	41	20	50
363		0	2	3	42	21	56
373		0	2	3	43	19	60
293		0	2	3	44	17	49
-1		0	2	3	45	-1	-1
348		0	2	3	46	21	51
359		0	2	3	47	20	55
369		0	2	3	48	21	58
289		0	2	3	49	18	48
352		0	2	3	50	19	53
365		0	2	3	51	20	57
355		0	2	3	52	19	54
335		0	2	3	53	17	63
331		0	2	3	54	18	62
351		0	2	3	55	21	52
-1		0	2	3	56	-1	-1
361		0	2	3	57	19	56
360		0	2	3	58	21	55
327		0	2	3	59	16	60
347		0	2	3	60	20	51
357		0	2	3	61	21	54
368		0	2	3	62	20	58
323		0	2	3	63	17	59
339		0	2	3	64	21	48
353		0	2	3	65	20	53
343		0	2	3	66	19	50
364		0	2	3	67	19	57
1687	0	3	0	0	25	2
1832	0	3	0	1	17	2
1697	0	3	0	2	26	5
1683	0	3	0	3	27	0
1842	0	3	0	4	16	5
1828	0	3	0	5	18	1
1701	0	3	0	6	27	6
1691	0	3	0	7	26	3
1846	0	3	0	8	18	7
1836	0	3	0	9	16	3
1705	0	3	0	10	25	8
-1		0	3	0	11	-1	-1
1695	0	3	0	12	27	4
1850	0	3	0	13	17	8
1840	0	3	0	14	18	5
1699	0	3	0	15	25	6
1709	0	3	0	16	26	9
1844	0	3	0	17	17	6
1854	0	3	0	18	16	9
1681	0	3	0	19	25	0
1713	0	3	0	20	27	10
1858	0	3	0	21	18	11
-1		0	3	0	22	-1	-1
1848	0	3	0	23	16	7
1703	0	3	0	24	26	7
1717	0	3	0	25	25	12
1862	0	3	0	26	17	12
1852	0	3	0	27	18	9
1707	0	3	0	28	27	8
1721	0	3	0	29	26	13
1866	0	3	0	30	16	13
1870	0	3	0	31	18	15
1725	0	3	0	32	27	14
1711	0	3	0	33	25	10
1856	0	3	0	34	17	10
1860	0	3	0	35	16	11
1702	0	3	0	36	25	7
1715	0	3	0	37	26	11
1841	0	3	0	38	17	5
1845	0	3	0	39	16	6
1698	0	3	0	40	27	5
1719	0	3	0	41	27	12
1864	0	3	0	42	18	13
1849	0	3	0	43	18	8
1706	0	3	0	44	26	8
-1		0	3	0	45	-1	-1
1723	0	3	0	46	25	14
1868	0	3	0	47	17	14
1853	0	3	0	48	17	9
1710	0	3	0	49	27	9
1727	0	3	0	50	26	15
1857	0	3	0	51	16	10
1872	0	3	0	52	16	15
1714	0	3	0	53	25	11
1718	0	3	0	54	26	12
1826	0	3	0	55	17	0
-1		0	3	0	56	-1	-1
1861	0	3	0	57	18	12
1685	0	3	0	58	26	1
1722	0	3	0	59	27	13
1830	0	3	0	60	16	1
1865	0	3	0	61	17	13
1693	0	3	0	62	25	4
1726	0	3	0	63	25	15
1838	0	3	0	64	17	4
1869	0	3	0	65	16	14
1834	0	3	0	66	18	3
1689	0	3	0	67	27	2
1591	0	3	1	0	25	18
1736	0	3	1	1	17	18
1601	0	3	1	2	26	21
1587	0	3	1	3	27	16
1746	0	3	1	4	16	21
1732	0	3	1	5	18	17
1605	0	3	1	6	27	22
1595	0	3	1	7	26	19
1750	0	3	1	8	18	23
1740	0	3	1	9	16	19
1609	0	3	1	10	25	24
-1		0	3	1	11	-1	-1
1599	0	3	1	12	27	20
1754	0	3	1	13	17	24
1744	0	3	1	14	18	21
1603	0	3	1	15	25	22
1613	0	3	1	16	26	25
1748	0	3	1	17	17	22
1758	0	3	1	18	16	25
1585	0	3	1	19	25	16
1617	0	3	1	20	27	26
1762	0	3	1	21	18	27
-1		0	3	1	22	-1	-1
1752	0	3	1	23	16	23
1607	0	3	1	24	26	23
1621	0	3	1	25	25	28
1766	0	3	1	26	17	28
1756	0	3	1	27	18	25
1611	0	3	1	28	27	24
1625	0	3	1	29	26	29
1770	0	3	1	30	16	29
1774	0	3	1	31	18	31
1629	0	3	1	32	27	30
1615	0	3	1	33	25	26
1760	0	3	1	34	17	26
1764	0	3	1	35	16	27
1606	0	3	1	36	25	23
1619	0	3	1	37	26	27
1745	0	3	1	38	17	21
1749	0	3	1	39	16	22
1602	0	3	1	40	27	21
1623	0	3	1	41	27	28
1768	0	3	1	42	18	29
1753	0	3	1	43	18	24
1610	0	3	1	44	26	24
-1		0	3	1	45	-1	-1
1627	0	3	1	46	25	30
1772	0	3	1	47	17	30
1757	0	3	1	48	17	25
1614	0	3	1	49	27	25
1631	0	3	1	50	26	31
1761	0	3	1	51	16	26
1776	0	3	1	52	16	31
1618	0	3	1	53	25	27
1622	0	3	1	54	26	28
1730	0	3	1	55	17	16
-1		0	3	1	56	-1	-1
1765	0	3	1	57	18	28
1589	0	3	1	58	26	17
1626	0	3	1	59	27	29
1734	0	3	1	60	16	17
1769	0	3	1	61	17	29
